Date,ABEV3.SA,ALPA4.SA,ALSO3.SA,AMAR3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BIDI4.SA,BPAC11.SA,BPAN4.SA,BRAP4.SA,BRDT3.SA,BRFS3.SA,BRKM5.SA,BRML3.SA,BTOW3.SA,CCRO3.SA,CESP6.SA,CIEL3.SA,CMIG4.SA,CNTO3.SA,COGN3.SA,CPFE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSMG3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DTEX3.SA,ECOR3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GNDI3.SA,GOAU4.SA,GOLL4.SA,HAPV3.SA,HGTX3.SA,HYPE3.SA,IGTA3.SA,IRBR3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,JHSF3.SA,KLBN11.SA,LAME3.SA,LAME4.SA,LCAM3.SA,LIGT3.SA,LINX3.SA,LREN3.SA,MDIA3.SA,MGLU3.SA,MOVI3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,NEOE3.SA,NTCO3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,PSSA3.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,RAPT4.SA,RENT3.SA,SANB11.SA,SAPR11.SA,SBSP3.SA,SULA11.SA,SUZB3.SA,TAEE11.SA,TOTS3.SA,TRPL4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VVAR3.SA,WEGE3.SA,YDUQ3.SA
1/2/2020,18.61668968,32.52977371,50.00999832,13.46000004,58.79999924,43.05578995,50.68682861,28.37316322,30.03608894,33.24896622,11.23253632,15.6171608,74.17340088,10.48313999,35.02318573,27.40430641,35.88000107,30.39999962,18.21999931,65.18000031,18.16434288,27.47139931,8.423099518,12.69115162,37.43000031,12.19999981,31.22452354,6.053955555,22.84691429,70.2147522,18.22438049,14.65938282,44.70999908,28.75367546,16.65615463,16.29999924,48.83917236,32.66846466,33.01348877,20.20000076,20.55499458,10.96500015,53.29000092,22.94305992,52.36484146,29.4376564,20.37399673,71.41365814,9.450195313,37.16999817,13.19756699,33.66043091,34.39415741,53.55492401,35.23125839,13.71194458,36.67124939,26.58527756,7.013819218,18.47034836,20.25498581,26.55891418,22.51560974,23.89999962,37.34553909,56.3474617,38.70730972,12.03845882,19.30705833,9.948161125,21.55213547,32.92079926,23.60132217,38.33000183,88.09880829,30.54379845,29.69924545,35.77999878,59.14213562,38.85158539,22.81101418,26.39999962,13.69385624,49.1747551,47.84949875,32.38612747,58.56949997,54.11460876,40.79000092,27.72288322,22.79046249,19.82143211,24.70434189,9.610516548,49.90192413,11.72999954,34.7858696,45.8850441
1/3/2020,18.35489082,32.52977371,51.41999817,13.94999981,56.75999832,41.814991,50.60203934,27.93039322,30.05129433,32.88244629,11.5274353,15.8956995,74.38865662,10.93599606,35.52049255,27.24384117,35.93999863,31.75,18.62999916,64.30000305,17.96357918,27.69090271,8.314986229,12.55397511,37.97000122,12.14999962,31.02942467,6.049547672,23.43885231,71.57576752,18.37755013,14.549613,44.20000076,30.31567192,16.90589905,16.17000008,49.12093735,32.17219543,32.87703705,20.40999985,20.68633842,11.06750011,54.20999908,22.67027664,52.78114319,28.67806244,20.04031944,72.74904633,9.46972084,35.90000153,13.75574207,34.06949615,35.1011467,53.63353729,34.95753479,13.51128101,36.28554535,26.8491745,7.493711948,18.91987038,20.46257973,26.60846519,23.33118248,23.75,38.18118668,55.95547485,39.15052414,11.93108177,19.81981277,10.16571426,21.55213547,32.92079926,23.26552963,41,88.09880829,29.78951836,29.45739555,37.84999847,57.62992477,39.65438843,22.30247116,25.62999916,13.78004074,48.46121597,47.82137299,31.89681053,57.56351852,56.12243652,40.65000153,27.68692398,23.27494812,19.32524872,24.41483688,9.511439323,49.53452301,11.47999954,34.34166336,44.92317581
1/6/2020,18.44215775,32.0205574,51.06999969,13.63000011,55,41.41411591,49.93312454,27.77018738,29.51453972,33.42350388,11.51852894,17.15897751,74.28102875,11.18651199,35.68626022,25.87986565,35.56999969,33.40000153,18.5,63.90000153,17.50469017,27.22657204,8.108585358,12.72770596,38,11.98999977,31.32206917,6.059244156,22.4172821,71.15473175,17.99059868,14.19036293,43.81999969,30.03839493,16.79063225,16.07999992,48.70768356,32.32620621,32.9282074,20.37999916,20.52685165,11.35000038,54.38000107,22.69950104,53.02893829,29.52573586,19.9912529,69.74938965,9.420907021,34.25,13.3316021,33.11500549,34.29862213,53.54509735,34.63067627,13.48261547,35.74556732,26.21386528,7.530626774,19.08969116,20.22533035,26.30125427,22.81659508,23.79999924,36.44025421,55.90647888,39.62328339,11.94084358,19.89299393,9.977827072,21.26089096,32.86192703,23.40944099,40.13000107,88.09880829,30.75797844,29.80565834,38.59000015,58.75486374,41.27981186,21.86345291,24.89999962,13.62682343,47.8963356,46.44452286,31.3560257,56.68328094,56.35045242,40.58000183,27.85772133,22.7442894,19.43841171,23.88408089,9.333100319,49.2406044,11.47999954,34.43050766,45.78689575
1/7/2020,18.48094177,32.74943161,50.47000122,13.67000008,56.81999969,42.7503624,49.55626297,27.29760933,29.00182915,33.44095612,12.04571342,17.43751526,74.57737732,11.17687798,35.84281921,25.84420395,35.15999985,32.52999878,18.79999924,63.74000168,17.89665794,26.59339714,7.872699261,13.19397354,38.65000153,12.07999992,30.95847893,6.09009552,22.28362083,72.43742371,17.71916962,14.19036293,44.40000153,30.13081932,16.85787201,16.44000053,48.81099701,33.15618134,33.43138504,20.5,20.40489197,11.26500034,53.74000168,22.58259583,53.76242447,29.83051872,20.30529785,67.36760712,9.489245415,34.45000076,12.96526146,31.79040527,33.96422958,53.70232391,34.86034012,13.30106449,34.9162941,26.68301582,7.595227242,19.14962578,19.82991791,25.77602005,23.29234123,23.71999931,35.22657013,55.87707901,38.26409531,11.9066782,19.85328674,10.28438091,21.3579731,32.95023727,23.48613167,40.77999878,88.09880829,30.33893394,29.68957138,38.63999939,58.71797943,40.22923279,21.56349182,25.27000046,13.78004074,48.36211395,46.34676743,31.61029053,55.71599197,55.24564743,41.09999847,27.52511978,22.83990097,19.29913139,24.41483688,9.422269821,49.59881592,11.64999962,34.69702911,44.93298721
1/8/2020,18.39367676,33.10887527,52,13.86999989,56.91999817,42.6358223,49.10404205,26.88105011,28.55309486,33.42350388,12.17975807,17.28829193,73.91644287,11.08052444,35.83361053,25.7193985,36.50999832,34.15999985,18.25,64.58999634,17.77237511,25.92644882,7.695784569,13.55971336,38.65000153,12,30.76338196,5.994896412,21.86353111,71.24285889,17.72722816,14.17040443,44.34000015,29.19731903,16.79063225,16.47999954,48.32260895,33.63534164,33.71282196,20.32999992,20.37674332,11.21249962,53.70000076,22.73847198,54.31749344,29.6495533,20.38381195,67.76623535,9.430669785,35.81000137,12.69846821,31.05018616,33.52474976,53.84972,34.99280548,13.10040188,34.34737396,27.33787346,7.475255013,19.3594017,19.87934685,25.5877285,23.38943481,23.46999931,34.78885269,56.23966599,38.59896469,12.27273655,19.9525528,10.54149055,20.98906326,33.07779694,23.82440948,40.99000168,86.2353363,29.84538841,29.50576591,37.84999847,58.09096527,39.45616531,21.85153389,25.60000038,13.66512871,48.12427139,45.98507309,31.73583031,54.89379501,54.85110855,43.15000153,27.24645042,22.53339005,19.15114403,24.22183418,9.303377151,49.60800171,11.60000038,33.38417053,44.66798401
1/9/2020,18.2482338,33.90764236,52.38000107,14.31000042,57.27999878,42.61674118,48.10538101,32.20628357,33.99673843,33.32750702,11.99209499,17.16893387,74.41954803,11.08052444,35.37314224,25.04186821,36.84000015,34.84999847,18.51000023,68.04000092,17.3421669,26.52585793,7.224012375,13.45004749,38.90000153,12.10000038,31.32206917,6.17207222,22.34090424,70.47912598,17.82662582,14.02071667,43.38999939,29.04943848,16.66576004,16.43000031,48.46348953,33.66956711,34.20746994,20.19000053,20.88335037,11.375,54.72000122,23.01125526,55.11044693,30.20197105,20.27585793,68.13496399,9.440433502,36.65000153,12.62281227,31.09888649,34.24129486,53.83989716,36.34412384,12.84240532,33.66273499,27.67019081,7.502941132,19.23953056,20.00785446,26.28143311,23.73896599,23.38999939,34.22180557,55.80848312,38.90429306,12.70956707,20.23049927,10.78871059,20.8337307,32.87173843,23.76641846,42,90.35877991,30.01300812,29.40902328,36.40000153,58.28460312,39.74358368,22.50906563,25.93000031,14.06732464,48.38193512,45.11502838,31.6232338,55.7353363,56.70112991,43.04000092,26.90485954,22.53339005,19.08150482,24.27008438,9.243929863,48.95586777,11.65999985,32.89060974,45.06058502
1/10/2020,18.3161068,33.65802765,52.49000168,14.28999996,57.5,42.28267288,46.97481918,26.15221596,27.58369827,32.93151855,11.93847752,17.70610046,75.46520996,11.00344372,35.26263046,25.13993263,36.34000015,34.45000076,18.63999939,66.77999878,17.3708477,26.78756905,7.273155689,13.65119553,39.15000153,12.19999981,31.91623497,6.342196941,22.57003975,71.52681732,17.93683052,14.18038464,42.04000092,29.25277519,16.90589905,16.37000084,49.18667984,34.31129837,34.66800308,20.11000061,21.26799393,11.42000008,55.06000137,23.28403854,55.50692749,29.66860199,20.55065155,68.54355621,9.645446777,37.24000168,12.35402966,31.24498367,34.42282104,53.79076004,36.36180496,12.75640774,33.36380768,27.52358055,7.530626774,19.73899841,20.10670662,26.2318821,23.7292614,23.44000053,34.18201065,55.98488235,39.26871109,12.64123535,20.18086624,10.6304903,20.62985802,32.52830124,23.56345177,42.88999939,90.10105896,29.89195061,29.28326416,37.22000122,58.9577179,40.2887001,21.81180191,25.67000008,13.91410732,47.42063522,44.9195137,31.86465454,55.53220749,56.66608047,43.11000061,27.3723011,22.7344017,19.23819542,24.21218491,9.055683136,49.0109787,11.69999981,33.56184387,45.25688553
1/13/2020,18.62638474,33.83774948,53.59999847,14.36999989,58.29999924,42.33039856,47.5024147,26.47253418,27.8801384,32.68724442,13.01083946,17.8951416,75.66249847,11.2732296,36.74533844,25.66591072,36.70000076,34,19.04000092,69.16999817,17.49512863,26.53430176,7.302640915,14.03521347,40.25999832,12.55000019,31.80094719,6.540528297,22.36954498,73.3578186,18.04428864,15.03859138,41.59999847,29.80732918,17.02116776,16.64999962,50.11650467,34.39686966,34.78740311,20.45999908,21.26799393,11.39999962,55.16999817,23.27429771,55.65560913,29.52573586,21.43391609,69.71949768,10.15310192,38,12.42172241,32.01441574,35.53107834,55.35319519,36.67089081,12.92840481,33.80737305,28.08069801,7.752115726,20.21848869,20.67519569,26.76203346,23.73896599,23.37999916,35.18677902,57.20002365,39.09142685,13.23425102,20.39925194,10.92715454,20.94052124,32.87173843,23.97904968,43.72999954,90.10105896,29.88264084,29.34130669,38.81999969,58.87473297,41.57714462,22.32233429,25.95000076,13.78961658,47.56929016,45.47673035,31.95475388,57.95043564,55.09664536,44.70000076,27.5071373,22.95528412,19.49934769,24.43413734,9.451992989,50.79286194,12.69999981,33.87772369,46.81746674
1/14/2020,18.51972771,34.20718002,54.45000076,14.18999958,59.18999863,42.61674118,47.24803925,26.52865028,27.84815025,33.07627106,12.91250896,17.70610046,74.22225189,11.08052444,37.09529114,25.67482376,36.54999924,34.27000046,19.21999931,68.34999847,18.07830238,26.8973217,7.36161232,14.18152809,41.77000046,12.78999996,31.56151009,6.561683655,22.34090424,75.69798279,18.21358109,14.79909229,42.5,30.03839493,17.00195694,17.36000061,50.81152344,33.79791641,34.24158478,20.37000084,21.26799393,11.45250034,54.5,23.81986427,56.92433548,29.96385956,21.0217247,70.67619324,9.909036636,37.99000168,12.44362354,32.43322754,36.1234169,55.17631531,36.4236412,13.07173634,33.80737305,28.05137825,7.945917606,20.89776611,21.36766624,27.63460159,23.69041634,22.95999908,36.30097961,56.47485352,38.82549667,13.17812252,20.49851799,11.23370838,21.40651321,33.36235809,24.16268921,44.25999832,86.3344574,29.64052391,29.02206421,41.11000061,60.01810837,42.57816696,22.6560688,25.79999924,13.94283581,47.76749802,44.85108566,32.06744766,59.20791245,55.58760452,44.25,27.45320511,22.95528412,19.46452904,24.70434189,9.491623878,51.10514832,13.35000038,34.54896164,47.79896545
1/15/2020,18.19005585,34.42684174,54.59999847,13.85999966,59.29999924,41.47138596,46.38127136,25.91989708,27.35938263,33.11245728,13.08644962,17.9647274,73.59090424,11.17687798,37.18738556,25.35388565,36.47000122,33.61999893,19.12999916,70.11000061,17.69589424,26.68626404,7.145383358,14.09004593,42.29999924,12.35000038,31.79207802,6.579313278,21.8157959,74.45446777,18.39633369,14.59950829,41.38999939,29.57626534,16.2911396,17.5,50.20103455,33.64390182,34.13071442,20,20.8270607,11.625,54.70999908,23.62501907,57.37037659,29.74479866,20.70767593,72.62945557,9.928563118,36.97000122,12.14696884,31.37159729,35.65527725,54.47862244,37.28036499,12.86151695,33.39273834,27.96341133,8.075119972,20.64803123,21.47648239,27.26772499,23.30205154,23.40999985,36.75859451,56.10247803,38.06711578,13.09514809,20.46873856,11.77759361,21.06672859,33.33292389,24.40431595,44.58000183,86.3344574,28.9793644,28.58673286,41.29999924,59.60317612,42.01323318,22.72360802,24.96999931,13.79919338,47.7774086,44.24498749,32.03200912,58.90805435,56.11372757,44.93999863,27.65097046,23.01124954,19.47323036,24.48238754,9.303377151,50.93982315,13.55000019,34.77599716,47.37691879
